epoch,train_loss,train_top1,test_top1,best_top1,learning_rate,epoch_seconds
165,3.26682244,25.475543,26.320331,26.320331,0.0426958486,6.923620
166,3.27969833,25.339674,25.233000,26.320331,0.0421782767,6.795646
167,3.20272932,26.817255,25.664480,26.320331,0.0416615627,6.734152
168,3.22188253,26.868207,26.648257,26.648257,0.0411457630,6.837610
169,3.24110654,26.239810,27.424922,27.424922,0.0406309343,6.816420
170,3.21241334,26.681386,26.527442,27.424922,0.0401171330,6.676966
171,3.22388482,26.358696,25.422851,27.424922,0.0396044155,6.740268
172,3.17996130,27.819293,28.408699,28.408699,0.0390928379,6.829381
173,3.24656591,26.307745,26.976182,28.408699,0.0385824565,6.904248
174,3.21476959,26.545516,26.320331,28.408699,0.0380733271,6.855729
175,3.18367290,26.953125,26.993441,28.408699,0.0375655056,6.766115
176,3.19744030,26.902174,26.182258,28.408699,0.0370590477,6.922513
177,3.17695699,27.038043,26.889886,28.408699,0.0365540090,6.686585
178,3.17866504,27.309783,27.701070,28.408699,0.0360504447,6.633156
179,3.17250139,27.479620,26.907145,28.408699,0.0355484102,6.811366
180,3.13900794,27.989130,28.011736,28.408699,0.0350479604,6.782184
181,3.09982984,28.787364,27.787366,28.408699,0.0345491503,6.887875
182,3.11814834,27.972147,26.700035,28.408699,0.0340520345,6.722436
183,3.12730085,28.345788,27.062478,28.408699,0.0335566677,6.853920
184,3.11926259,27.836277,28.167069,28.408699,0.0330631040,6.918159
185,3.09818065,28.889266,27.045219,28.408699,0.0325713976,6.922644
186,3.06028753,28.362772,27.062478,28.408699,0.0320816025,6.935498
187,3.10870418,28.617527,28.494995,28.494995,0.0315937724,6.802350
188,3.01902481,29.891304,28.874698,28.874698,0.0311079607,6.759458
189,3.06401436,28.923234,28.305143,28.874698,0.0306242207,6.946384
190,3.00825801,30.587636,28.374180,28.874698,0.0301426055,6.825366
191,3.03765441,30.129076,29.530549,29.530549,0.0296631678,6.787663
192,3.04510731,30.944293,30.894028,30.894028,0.0291859604,6.839018
193,3.04690562,29.313859,29.996548,30.894028,0.0287110354,6.826807
194,3.03271596,29.857337,29.530549,30.894028,0.0282384450,6.857936
195,3.04056906,30.281929,29.426993,30.894028,0.0277682410,6.933529
196,3.01705894,30.536685,29.875734,30.894028,0.0273004750,6.934941
197,2.99924411,31.708560,28.926476,30.894028,0.0268351982,6.796124
198,3.01049983,30.706522,29.737660,30.894028,0.0263724618,6.851457
199,2.98908647,30.876359,29.772178,30.894028,0.0259123163,7.274199
200,2.96945898,31.572690,30.790473,30.894028,0.0254548123,6.941667
201,2.96645864,31.233016,28.063514,30.894028,0.0250000000,7.014225
202,2.94244845,31.725543,30.307214,30.894028,0.0245479292,6.943313
203,2.93156194,31.453804,29.271660,30.894028,0.0240986495,6.847671
204,2.94170823,32.150136,29.703141,30.894028,0.0236522102,6.721967
205,2.94150770,31.368886,31.480842,31.480842,0.0232086603,7.036943
206,2.96414360,31.131114,30.341733,31.480842,0.0227680482,6.777545
207,2.92669383,32.150136,31.774249,31.774249,0.0223304225,6.809689
208,2.92754756,31.878397,30.894028,31.774249,0.0218958311,6.853704
209,2.85888213,33.271060,29.668623,31.774249,0.0214643216,6.786904
210,2.87236997,32.982337,30.065585,31.774249,0.0210359414,6.963266
211,2.85450992,33.576766,29.254401,31.774249,0.0206107374,6.884345
