epoch,train_loss,train_top1,test_top1,best_top1,learning_rate,epoch_seconds
193,3.06362993,29.025136,26.907145,28.046255,0.0287110354,7.038583
194,3.03913375,29.534647,28.287884,28.287884,0.0282384450,7.047651
195,3.05517690,29.296875,27.511219,28.287884,0.0277682410,6.872441
196,3.02164083,30.112092,25.750777,28.287884,0.0273004750,7.489999
197,2.98995678,31.572690,28.149810,28.287884,0.0268351982,6.713759
198,3.02751329,29.653533,28.443217,28.443217,0.0263724618,6.082185
199,2.97524983,30.944293,27.994477,28.443217,0.0259123163,6.024921
200,3.00007962,30.978261,28.667587,28.667587,0.0254548123,6.072005
201,2.99767718,30.519701,27.908181,28.667587,0.0250000000,7.000268
202,2.93348885,32.778533,27.476700,28.667587,0.0245479292,6.645985
203,2.96391033,31.487772,26.769071,28.667587,0.0240986495,6.695094
204,2.94808774,30.961277,27.183293,28.667587,0.0236522102,6.656760
205,2.94601139,30.825408,29.944770,29.944770,0.0232086603,7.019503
206,2.95254293,32.438859,28.184329,29.944770,0.0227680482,6.654619
207,2.92940663,32.167120,30.151881,30.151881,0.0223304225,7.361686
208,2.91776954,32.676630,30.531584,30.531584,0.0218958311,6.778575
209,2.89060356,32.761549,29.685882,30.531584,0.0214643216,6.609926
210,2.87173632,33.237092,29.530549,30.531584,0.0210359414,6.297820
211,2.85497013,34.358016,29.047290,30.531584,0.0206107374,7.565832
212,2.87188767,32.472826,30.151881,30.531584,0.0201887563,6.044027
213,2.85939730,34.052310,29.444253,30.531584,0.0197700443,6.795235
214,2.86303678,33.033288,30.082844,30.531584,0.0193546473,6.912213
215,2.84510854,33.848505,29.772178,30.531584,0.0189426110,7.126725
216,2.85387880,34.680707,29.496030,30.531584,0.0185339804,6.042009
217,2.82100867,33.831522,30.497066,30.531584,0.0181288005,5.940607
218,2.78131091,34.375000,29.444253,30.531584,0.0177271156,5.962113
219,2.79323138,33.797554,30.151881,30.531584,0.0173289698,7.456016
220,2.81270875,34.578804,30.082844,30.531584,0.0169344067,5.977228
221,2.79811965,34.239130,30.721436,30.721436,0.0165434697,5.965846
222,2.79375630,34.222147,30.255437,30.721436,0.0161562015,5.949483
223,2.77345912,35.275136,31.843286,31.843286,0.0157726447,5.999308
224,2.77781992,35.309103,31.964101,31.964101,0.0153928413,5.915705
225,2.76917422,35.699728,31.221954,31.964101,0.0150168330,7.601067
226,2.74965878,36.073370,29.962030,31.964101,0.0146446609,6.751752
227,2.74041155,37.007473,32.171212,32.171212,0.0142763660,7.395333
228,2.74677312,36.175272,32.119434,32.171212,0.0139119886,7.666599
229,2.72103271,36.548913,31.722472,32.171212,0.0135515686,6.994216
230,2.72588783,36.022418,32.257508,32.257508,0.0131951456,7.763264
231,2.73202584,36.752717,31.394546,32.257508,0.0128427587,7.983901
232,2.70846087,36.243207,31.791508,32.257508,0.0124944465,7.961004
233,2.65797377,38.009511,33.500173,33.500173,0.0121502472,8.092007
234,2.69202713,36.956522,33.620987,33.620987,0.0118101986,7.381123
235,2.64906969,38.162364,32.688989,33.620987,0.0114743379,7.940906
236,2.65715500,37.466033,34.052468,34.052468,0.0111427019,8.074853
237,2.66027847,37.194293,31.705212,34.052468,0.0108153271,6.984976
238,2.62850717,38.111413,33.465654,34.052468,0.0104922494,7.618015
239,2.60805337,39.419158,33.241284,34.052468,0.0101735041,6.338446
240,2.60661958,39.096467,33.310321,34.052468,0.0098591262,6.699596
241,2.59775198,39.436141,33.551950,34.052468,0.0095491503,7.065992
242,2.59464269,39.011549,32.913359,34.052468,0.0092436102,7.735028
243,2.60367461,39.385190,33.776320,34.052468,0.0089425395,7.460763
244,2.59384683,39.232337,33.879876,34.052468,0.0086459713,7.065647
245,2.56334257,39.622962,33.793580,34.052468,0.0083539380,7.109339
246,2.53167977,41.185462,33.293062,34.052468,0.0080664716,7.683667
247,2.55146168,39.894701,33.569210,34.052468,0.0077836037,7.608674
248,2.55174364,40.132473,33.914394,34.052468,0.0075053654,7.091852
249,2.54614811,40.370245,33.707283,34.052468,0.0072317870,7.058252
250,2.53961906,40.658967,33.828098,34.052468,0.0069628986,7.680396
251,2.53546917,40.183424,34.570245,34.570245,0.0066987298,7.633562
252,2.52051562,41.236413,34.639282,34.639282,0.0064393094,7.623856
253,2.47318752,42.187500,34.777356,34.777356,0.0061846660,7.108576
254,2.49829839,41.355299,34.501208,34.777356,0.0059348274,6.550729
255,2.48918301,41.949728,35.295133,35.295133,0.0056898210,6.139057
256,2.51767811,41.202446,35.088022,35.295133,0.0054496738,6.651782
257,2.49574183,41.372283,33.948913,35.295133,0.0052144120,7.671991
258,2.47041993,41.491168,34.622023,35.295133,0.0049840614,7.870417
259,2.48123650,42.034647,34.173283,35.295133,0.0047586474,7.853103
260,2.46611256,41.406250,34.898171,35.295133,0.0045381945,7.713250
261,2.46550086,41.117527,34.898171,35.295133,0.0043227271,8.004197
262,2.43766210,42.323370,34.829134,35.295133,0.0041122687,8.027755
263,2.39909392,43.308424,35.364170,35.364170,0.0039068424,7.142863
264,2.43617778,42.204484,34.190542,35.364170,0.0037064708,7.036571
265,2.41796654,43.189538,35.122541,35.364170,0.0035111757,6.865582
266,2.36477614,44.412364,35.174318,35.364170,0.0033209787,8.036327
267,2.35265590,43.936821,35.001726,35.364170,0.0031359005,7.304763
268,2.39060773,43.716033,35.519503,35.519503,0.0029559616,7.025273
269,2.37080452,44.191576,35.484984,35.519503,0.0027811815,7.668164
270,2.39743078,43.614130,35.450466,35.519503,0.0026115795,7.060397
271,2.40317158,43.682065,35.450466,35.519503,0.0024471742,6.984890
272,2.38105265,43.817935,36.227132,36.227132,0.0022879836,7.817270
273,2.40571774,43.444293,36.071798,36.227132,0.0021340251,7.269316
274,2.38445498,44.514266,36.123576,36.227132,0.0019853157,8.097270
275,2.35387413,44.599185,36.399724,36.399724,0.0018418717,7.923278
276,2.32962943,44.904891,36.071798,36.399724,0.0017037087,7.068355
277,2.34791418,45.244565,35.709355,36.399724,0.0015708419,6.831841
278,2.31021769,45.142663,36.158095,36.399724,0.0014432860,7.138731
279,2.39358559,43.766984,36.106317,36.399724,0.0013210549,7.985772
280,2.32076517,44.921875,36.296168,36.399724,0.0012041619,7.571456
281,2.37928801,44.955842,35.812910,36.399724,0.0010926200,7.160104
282,2.33723319,44.446332,35.933725,36.399724,0.0009864413,6.764351
283,2.27968346,46.467391,35.778391,36.399724,0.0008856375,8.026991
