epoch,train_loss,train_top1,test_top1,best_top1,learning_rate,epoch_seconds
89,0.18741398,95.732527,81.360028,82.274767,0.0059369066,12.681103
90,0.16849242,96.186156,81.239213,82.274767,0.0058596455,12.359409
91,0.17080895,96.001344,81.705212,82.274767,0.0057821723,12.456989
92,0.20739577,95.262097,81.567138,82.274767,0.0057045062,12.455592
93,0.19742353,95.295699,81.601657,82.274767,0.0056266662,12.532288
94,0.17283492,95.850134,82.395582,82.395582,0.0055486716,12.446987
95,0.17392042,96.034946,81.998619,82.395582,0.0054705416,12.354826
96,0.19173176,95.480511,81.946842,82.395582,0.0053922955,12.818528
97,0.18591293,95.228495,81.774249,82.395582,0.0053139526,12.549632
98,0.17370659,96.085349,81.808768,82.395582,0.0052355323,12.522474
99,0.17658090,95.850134,82.188471,82.395582,0.0051570538,12.490482
100,0.17144891,95.984543,81.756990,82.395582,0.0050785366,12.453925
101,0.17098421,96.169355,81.774249,82.395582,0.0050000000,12.427707
102,0.19100225,95.564516,82.033138,82.395582,0.0049214634,12.671669
103,0.17268224,96.018145,81.584398,82.395582,0.0048429462,12.324392
104,0.16705393,96.118952,82.205730,82.395582,0.0047644677,12.426799
105,0.16385512,96.286962,82.343804,82.395582,0.0046860474,12.548862
106,0.16040800,96.354167,82.033138,82.395582,0.0046077045,12.706960
107,0.16199303,96.438172,81.946842,82.395582,0.0045294584,12.551112
108,0.16532008,96.118952,82.188471,82.395582,0.0044513284,12.834344
109,0.16808625,96.270161,81.843286,82.395582,0.0043733338,12.428128
110,0.14289521,96.740591,81.895064,82.395582,0.0042954938,12.570342
111,0.16058595,96.202957,82.102175,82.395582,0.0042178277,12.555871
112,0.17102063,95.934140,81.964101,82.395582,0.0041403545,12.392941
113,0.15311222,96.471774,82.654470,82.654470,0.0040630934,12.714729
114,0.14904128,96.505376,82.274767,82.654470,0.0039860635,12.733929
115,0.15332389,96.370968,82.361063,82.654470,0.0039092838,12.584789
116,0.14932374,96.639785,82.326545,82.654470,0.0038327732,12.424868
117,0.15335041,96.354167,82.637211,82.654470,0.0037565506,12.459857
118,0.16199808,96.236559,82.809803,82.809803,0.0036806348,12.200121
119,0.11680262,97.395833,82.654470,82.809803,0.0036050445,12.687772
120,0.14436249,96.723790,82.896099,82.896099,0.0035297984,12.538842
121,0.13944039,96.875000,82.550915,82.896099,0.0034549150,12.553232
122,0.15930648,96.270161,82.896099,82.896099,0.0033804129,12.369011
123,0.14741524,96.690188,82.861581,82.896099,0.0033063104,12.562322
124,0.14415516,96.757392,82.775285,82.896099,0.0032326258,12.627227
125,0.14003085,96.790995,82.309285,82.896099,0.0031593772,12.551747
126,0.12324738,97.076613,82.723507,82.896099,0.0030865828,12.511144
127,0.13158013,96.992608,82.688989,82.896099,0.0030142605,12.241838
128,0.15921017,96.219758,82.878840,82.896099,0.0029424282,12.393682
129,0.12873599,97.143817,83.085951,83.085951,0.0028711035,12.686785
130,0.13469913,96.824597,82.947877,83.085951,0.0028003042,12.333092
131,0.14564635,96.622984,82.930618,83.085951,0.0027300475,12.512115
132,0.12971237,97.211022,83.362099,83.362099,0.0026603509,12.573458
133,0.12599041,97.059812,83.362099,83.362099,0.0025912316,12.516566
134,0.13300802,97.059812,82.947877,83.362099,0.0025227067,12.463115
135,0.12385530,97.295027,83.258543,83.362099,0.0024547929,12.431319
136,0.13224487,97.026210,83.016914,83.362099,0.0023875072,12.709672
137,0.11637766,97.261425,83.206766,83.362099,0.0023208660,12.597068
138,0.12547220,97.194220,83.431136,83.431136,0.0022548859,12.469203
139,0.11949222,97.244624,83.448395,83.448395,0.0021895831,12.285253
140,0.11621194,97.513441,83.206766,83.448395,0.0021249737,12.344455
141,0.11666974,97.110215,83.120469,83.448395,0.0020610737,12.501296
142,0.12094486,97.160618,83.413876,83.448395,0.0019978989,12.396868
143,0.13309983,96.975806,83.310321,83.448395,0.0019354647,12.520802
144,0.12286875,97.043011,83.620987,83.620987,0.0018737867,12.487294
145,0.11618415,97.160618,83.690024,83.690024,0.0018128801,12.910500
146,0.11918226,97.479839,83.293062,83.690024,0.0017527598,12.346060
147,0.12157969,97.278226,83.224025,83.690024,0.0016934407,12.298958
148,0.11576477,97.479839,83.327580,83.690024,0.0016349374,12.464934
149,0.11364797,97.395833,83.655506,83.690024,0.0015772645,12.513699
150,0.12222252,97.227823,83.690024,83.690024,0.0015204360,13.554370
151,0.11133155,97.395833,83.707283,83.707283,0.0014644661,12.470278
152,0.10368664,97.681452,83.690024,83.707283,0.0014093685,12.660944
153,0.10722410,97.782258,83.569210,83.707283,0.0013551569,12.960789
154,0.09936410,97.664651,83.569210,83.707283,0.0013018445,12.412277
155,0.11910018,97.345430,83.551950,83.707283,0.0012494447,12.704397
156,0.10718722,97.395833,83.534691,83.707283,0.0011979702,12.431282
157,0.09494626,97.883065,83.759061,83.759061,0.0011474338,12.362042
158,0.10721545,97.463038,83.672765,83.759061,0.0010978480,12.619489
159,0.09487160,97.849462,83.931653,83.931653,0.0010492249,12.413264
160,0.11143468,97.597446,83.862616,83.931653,0.0010015767,12.448610
161,0.11959989,97.211022,84.104246,84.104246,0.0009549150,13.520110
162,0.09798865,97.866263,83.914394,84.104246,0.0009092514,13.484330
163,0.10716063,97.563844,83.707283,84.104246,0.0008645971,12.784580
164,0.09303932,98.017473,83.603728,84.104246,0.0008209632,12.852028
165,0.10855935,97.463038,83.741802,84.104246,0.0007783604,14.157023
166,0.10106056,97.698253,83.862616,84.104246,0.0007367992,12.354349
167,0.09220125,98.000672,83.828098,84.104246,0.0006962899,12.910613
168,0.09813493,98.000672,83.741802,84.104246,0.0006568424,12.780978
169,0.09534046,97.715054,83.672765,84.104246,0.0006184666,12.769593
170,0.09235606,97.698253,83.741802,84.104246,0.0005811718,12.537824
171,0.09778134,97.916667,83.603728,84.104246,0.0005449674,13.090435
172,0.09825450,97.950269,83.862616,84.104246,0.0005098621,12.927168
173,0.11283722,97.563844,83.931653,84.104246,0.0004758647,13.018356
174,0.09822495,98.000672,83.931653,84.104246,0.0004429836,13.571218
175,0.10055559,97.731855,83.690024,84.104246,0.0004112269,13.088630
176,0.10190680,97.866263,83.724543,84.104246,0.0003806023,13.419963
177,0.10839828,97.395833,83.914394,84.104246,0.0003511176,13.526635
178,0.10652596,97.664651,83.897135,84.104246,0.0003227798,12.782543
179,0.09456054,97.983871,83.551950,84.104246,0.0002955962,12.510613
180,0.10897550,97.715054,83.724543,84.104246,0.0002695732,13.610333
181,0.09265005,97.832661,83.690024,84.104246,0.0002447174,12.821267
182,0.10784663,97.647849,83.948913,84.104246,0.0002210349,12.385255
183,0.09233053,97.883065,83.793580,84.104246,0.0001985316,12.499402
184,0.10219323,97.580645,83.776320,84.104246,0.0001772129,12.360971
185,0.09109923,98.000672,83.931653,84.104246,0.0001570842,12.336402
186,0.10580702,97.698253,83.776320,84.104246,0.0001381504,12.879839
187,0.10213810,97.664651,83.966172,84.104246,0.0001204162,12.323704
188,0.11326625,97.530242,83.828098,84.104246,0.0001038859,12.321675
189,0.09896333,97.765457,83.914394,84.104246,0.0000885637,12.810551
190,0.09887458,97.832661,83.759061,84.104246,0.0000744534,12.327931
191,0.08977042,97.983871,84.035209,84.104246,0.0000615583,12.650708
192,0.10564070,97.547043,83.914394,84.104246,0.0000498817,12.896396
193,0.10251220,97.597446,83.776320,84.104246,0.0000394265,12.423222
194,0.10145212,97.799059,83.724543,84.104246,0.0000301952,12.858645
195,0.09966991,97.563844,83.897135,84.104246,0.0000221902,13.239869
196,0.08973131,97.899866,83.966172,84.104246,0.0000154133,12.409349
197,0.09203418,98.034274,83.914394,84.104246,0.0000098664,12.215728
198,0.08863254,98.084677,83.776320,84.104246,0.0000055506,13.758697
199,0.09717934,97.933468,83.845357,84.104246,0.0000024672,13.455885
200,0.10090709,97.631048,83.793580,84.104246,0.0000006168,13.039629
